epoch,batch,train_loss,train_ppl,val_loss,val_ppl
7,100,6.6227720527243426,752.0268685184128,6.800794167043409,898.5606155911519
7,200,6.604553741260957,738.4502557907336,6.788865861114422,887.9059818700556
7,300,7.081364224212493,1189.590279897276,6.777058934362463,877.4841867346788
7,400,6.892226244331889,984.5909190837455,6.765671027380272,867.5481610844881
7,500,6.767352667396667,869.0082921516399,6.7542884264808505,857.729195305013
7,600,6.697529180467019,810.4009947929857,6.743174106326035,848.2488995334969
7,700,6.8195768773241845,915.5975180367936,6.732306321245952,839.0802246346369
7,800,6.541617525811149,693.4072755794302,6.721640799604562,830.1785512179414
7,900,6.998298232747649,1094.7685310624959,6.711158308569759,821.5216641380888
7,1000,6.74286867571934,847.9898579191164,6.700741994892399,813.0088498333174
7,1100,6.662804057918222,782.7427186677049,6.690557705793649,804.770952433709
7,1200,6.487836967619633,657.100495266846,6.6804253301091805,796.6578825503088
7,1250,6.582160681027387,722.0978680536258,6.675451895733542,792.705593224078
8,1350,6.48329975434775,654.1258435963683,6.665606450527389,784.9393475480642
8,1450,6.480032636912045,651.9922249368348,6.655964557194897,777.4074154804317
8,1550,6.9588806674805355,1052.454850743424,6.646432390109642,770.0322446267942
8,1650,6.7723815985913145,873.3894821786388,6.637253133367075,762.9962628981896
8,1750,6.64692477079322,770.4114869879248,6.628063687141664,756.0168672755326
8,1850,6.572167240120881,714.917563412881,6.6189672498949905,749.1709910319598
8,1950,6.698575617195199,811.2494720199312,6.610092314088166,742.5515635232514
8,2050,6.424674430654769,616.8799476454361,6.601339659411957,736.0806263586003
8,2150,6.883896781281773,976.4238662054383,6.592730399501576,729.7707177268095
8,2250,6.626931596180869,755.1614716980407,6.584228147754237,723.5923257077648
8,2350,6.55792811156658,704.8098933079973,6.575985765302403,717.6527129266678
